id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_run,win_by_wickets,player_of_match,venue,umpire1,umpire2
805,2020,Sharjah,12/10/2020,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,normal,0,Royal Challengers Bangalore,82,0,AB de Villiers,Sharjah Cricket Stadium,RK Illingworth,K Srinivasan
806,2020,Abu Dhabi,25/10/2020,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,normal,0,Rajasthan Royals,0,8,BA Stokes,Sheikh Zayed Stadium,UV Gandhe,VK Sharma
807,2020,Dubai,08/10/2020,Sunrisers Hyderabad,Kings XI Punjab,Sunrisers Hyderabad,bat,normal,0,Sunrisers Hyderabad,69,0,JM Bairstow,Dubai International Cricket Stadium,AK Chaudhary,Nitin Menon
808,2020,Dubai,14/10/2020,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,0,Delhi Capitals,13,0,A Nortje,Dubai International Cricket Stadium,AK Chaudhary,Nitin Menon
809,2020,Dubai,25/10/2020,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,0,Chennai Super Kings,0,8,RD Gaikwad,Dubai International Cricket Stadium,C Shamshuddin,RK Illingworth
810,2020,Abu Dhabi,26/09/2020,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,normal,0,Kolkata Knight Riders,0,7,Shubman Gill,Sheikh Zayed Stadium,CB Gaffaney,VK Sharma
811,2020,Dubai,20/10/2020,Delhi Capitals,Kings XI Punjab,Delhi Capitals,bat,normal,0,Kings XI Punjab,0,5,S Dhawan,Dubai International Cricket Stadium,C Shamshuddin,RK Illingworth
812,2020,Dubai,28/09/2020,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,Royal Challengers Bangalore,0,0,AB de Villiers,Dubai International Cricket Stadium,Nitin Menon,PR Reiffel
813,2020,Dubai,05/11/2020,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,0,Mumbai Indians,57,0,JJ Bumrah,Dubai International Cricket Stadium,CB Gaffaney,Nitin Menon
814,2020,Abu Dhabi,06/11/2020,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,6,KS Williamson,Sheikh Zayed Stadium,PR Reiffel,S Ravi
815,2020,Abu Dhabi,08/11/2020,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,normal,0,Delhi Capitals,17,0,MP Stoinis,Sheikh Zayed Stadium,PR Reiffel,S Ravi
816,2020,Dubai,10/11/2020,Delhi Capitals,Mumbai Indians,Delhi Capitals,bat,normal,0,Mumbai Indians,0,5,TA Boult,Dubai International Cricket Stadium,CB Gaffaney,Nitin Menon
