Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
Nalin Kumar Katil,DAKSHINA KANNADA,BJP, 1 ,10th Pass,9329001,1493367,2014
Patel Lalubhai Babubhai,DAMAN AND DIU,BJP,0,8th Pass,144931238,1234039,2014
Prahalad Singh Patel,DAMOH,BJP,0,Graduate Professional,39586235,12429302,2014
Kirti Azad,DARBHANGA,BJP, 4 ,Graduate,28531267,431860,2014
Surendrajeet Singh Ahluwalia,DARJEELING,BJP,0,Graduate Professional,23377223,443035,2014
Harish Chandra,DAUSA,BJP,0,Graduate,60394789,45000,2014
G.m. Siddeshwara,DAVANAGERE,BJP,0,10th Pass,232375703,17951455,2014
Kalraj Mishra,DEORIA,BJP,0,Post Graduate,55048193,0,2014
Manohar Untwal,DEWAS,BJP,0,12th Pass,6336490,1448086,2014
Pashupati Nath Singh,DHANBAD,BJP, 1 ,Graduate,24248150,0,2014
Savitri Thakur,DHAR,BJP,0,10th Pass,9606464,1582845,2014
Anbumani Ramadoss,DHARMAPURI,PMK, 8 ,Graduate Professional,314378451,41941065,2014
Pralhad Joshi,DHARWAD,BJP, 1 ,Graduate,41979658,6739989,2014
Rekha,DHAURAHRA,BJP,0,12th Pass,10435468,2375000,2014
Tathagata Satpathy,DHENKANAL,BJD, 7 ,Others,35434099,0,2014
Badruddin Ajmal,DHUBRI,AIUDF, 1 ,Post Graduate,432748134,0,2014
Bhamare Subhash Ramrao,DHULE,BJP,0,Post Graduate,125833320,660757,2014
Abhishek Banerjee,DIAMOND HARBOUR,AITC,0,Post Graduate,15199272,0,2014
Rameshwar Teli,DIBRUGARH,BJP,0,10th Pass,977943,0,2014
Udhaya Kumar .m,DINDIGUL,AIADMK,0,Post Graduate,27810000,2800000,2014
Chavan Harishchandra Deoram,DINDORI,BJP, 1 ,Graduate,37240147,881137,2014
Jagdambika Pal,DOMARIYAGANJ,BJP,0,Post Graduate,17822082,4981555,2014
Saugata Roy,DUM DUM,AITC,0,Post Graduate,19452010,2500000,2014
Shibu Soren,DUMKA,JMM,0,10th Pass,46760684,1479721,2014
Tamradwaj Sahu,DURG,INC,0,12th Pass,21002226,1777720,2014
Mahesh Giri,EAST DELHI,BJP, 1 ,10th Pass,5216375,400000,2014
Venkateswara Rao Maganti,ELURU,TDP, 2 ,10th Pass,129394729,55294433,2014
K.v. Thomas,ERNAKULAM,INC,0,Post Graduate,11848550,522352,2014
Selvakumara Chinnayan S,ERODE,AIADMK,0,Post Graduate,47459708,0,2014
Rajvir Singh,ETAH,BJP,0,Graduate Professional,251921157,46898091,2014
Ashok Kumar Doharey,ETAWAH,BJP,0,Graduate,12252688,0,2014
Lallu Singh,FAIZABAD,BJP, 1 ,Post Graduate,15127861,3640964,2014
Krishan Pal,FARIDABAD,BJP,0,Graduate Professional,296440144,19707475,2014
Prof. Sadhu Singh,FARIDKOT,AAP,0,Post Graduate,5879516,70000,2014
Harinder Singh Khalsa,FATEHGARH SAHIB,AAP,0,Post Graduate,35588128,6700000,2014
Sadhavi Niranjan Jyoti,FATEHPUR,BJP, 1 ,12th Pass,3763779,176616,2014
Babulal,FATEHPUR SIKRI,BJP, 3 ,12th Pass,73028848,16390000,2014
Akshay Yadav,FIROZABAD,SP,0,Graduate,100883304,59377,2014
Sher Singh Ghubaya,FIROZPUR,SAD,0,10th Pass,96121057,5133876,2014
Ashok Mahadeorao Nete,GADCHIROLI CHIMUR,BJP,0,12th Pass,12125676,5830550,2014
Lal Krishna Advani,GANDHINAGAR,BJP, 1 ,Graduate Professional,75915276,0,2014
Nihalchand,GANGANAGAR,BJP,0,Graduate,10861172,1611557,2014
