Candidate,Constituency,Party,Criminal Cases,Education,Total Assets,Liabilities,Year
RAGHURAJ SINGH SHAKYA,Etawah,SP,0,Post Graduate,1924170,0,2004
MITRASEN,Faizabad,BSP, 27 ,12th Pass,5380516,318855,2004
AVTAR SINGH BHADANA,Faridabad,INC,0,8th Pass,9763648,0,2004
SUKHBIR SINGH BADAL,Faridkot,SAD, 1 ,Post Graduate,133811603,17359781,2004
CHANDRA BHUSHAN SINGH (MUNNOO BABU),Farrukhabad,SP,0,Post Graduate,9594069,768000,2004
MAHENDRA PRASAD NISHAD,Fatehpur,BSP,0,Graduate,1082468,56554,2004
ZORA SINGH MAAN,Ferozepur,SAD, 1 ,10th Pass,5561000,723000,2004
RAM JI LAL SUMAN,Firozabad,SP, 2 ,Graduate,4235985,0,2004
L. K. ADVANI,Gandhinagar,BJP,0,Graduate Professional,13042443,554000,2004
NIHALCHAND MEGHWAL,Ganganagar,BJP,0,Graduate,2282422,168941,2004
MAJ. GEN. ( RETD) BHUWAN CHANDRA KHANDURI (AVSM),Garhwal,BJP,0,Graduate Professional,7242679,0,2004
KIRIP CHALIHA,Gauhati,INC,0,Post Graduate,9202689,205430,2004
RAJESH KUMAR MANJHI,Gaya,RJD,0,8th Pass,0,26000,2004
RADHEY SHYAM KORI,Ghatampur,SP,0,10th Pass,1868196,0,2004
AFAJAL ANSARI,Ghazipur,SP, 1 ,Post Graduate,5085464,38022,2004
CHANDRADEO PRASAD RAJBHAR,Ghosi,SP,0,Post Graduate,600143,0,2004
TEK LAL MAHTO,Giridih,JMM, 1 ,Graduate,625000,0,2004
"ELANGOVAN, E. V. K. S.",Gobichettipalayam,INC, 13 ,Graduate,5031000,0,2004
FURKAN ANSARI,Godda,INC, 3 ,Graduate,1499897,800000,2004
SOLANKI BHUPENDRASINH PRABHATSINH,Godhra,BJP,0,Graduate Professional,2724746,0,2004
KIRTI VARDHAN SINGH  ALIAS RAJA BHAIYA,Gonda,SP,0,Post Graduate,8600704,595401,2004
ANIRUDH PRASAD ALIAS SADHU YADAV,Gopalganj,RJD, 3 ,Graduate,5234219,443268,2004
ADITYA NATH,Gorakhpur,BJP,0,Graduate,960672,0,2004
IQBAL AHMED SARADGI,Gulbarga,INC,0,Graduate Professional,11451875,0,2004
JYOTIRADITYA MADHAVRAO SCINDIA,Guna,INC,0,Post Graduate,35827904,0,2004
RAYAPATI  SAMBASIVA RAO,Guntur,INC,0,Not Given,48198297,9889900,2004
VINOD KHANNA,Gurdaspur,BJP,0,Graduate,81081889,1236000,2004
RAMSEVAK SINGH ( BABUJI),Gwalior,INC,0,5th Pass,5443950,0,2004
RAM VILAS PASWAN,Hajipur,LJNSP,0,Post Graduate,8332433,0,2004
RAJNARAYAN ALIAS RAJJU MAHRAJ,Hamirpur,SP,0,Graduate Professional,2640727,387411,2004
SURESH CHANDEL,Hamirpur,BJP,0,Post Graduate,6426759,1069724,2004
B.VINOD KUMAR,Hanamkonda,TRS,0,Graduate,10011716,0,2004
SURENDRA PRAKASH GOYAL,Hapur,INC, 1 ,8th Pass,6164616,0,2004
USHA VERMA,Hardoi,SP,0,Post Graduate,976000,200000,2004
RAJENDRA KUMAR,Hardwar,SP,0,8th Pass,2394512,0,2004
H. D. DEVEGOWDA,Hassan,JD(S),0,Others,11439574,3582261,2004
KISHAN LAL DILER,Hathras,BJP,0,Not Given,2089121,0,2004
BHUBNESHWAR PRASAD MEHTA,Hazaribagh,CPI, 1 ,12th Pass,970342,250000,2004
NIZAMODDIN,Hindupur,INC,0,Graduate,1405000,200779,2004
SURYAKANTA PATIL,Hingoli,NCP, 2 ,Graduate,15307225,272088,2004
JAI PARKASH,Hissar,INC, 5 ,12th Pass,4568812,245760,2004
Rupchand Pal,Hooghly,CPM,0,Post Graduate,893720,435000,2004
SARTAJ SINGH,Hoshangabad,BJP,0,Graduate,14878898,654724,2004
AVINASH RAI KHANNA,Hoshiarpur,BJP,0,Graduate Professional,1623665,0,2004
Swadesh Chakrabortty,Howrah,CPM,0,Graduate,1545667,0,2004
ASADUDDIN OWAISI,Hyderabad,AIMIM, 3 ,Graduate Professional,3902342,0,2004
MANE NIVEDITA SAMBHAJIRAO,Ichalkaranji,NCP,0,Graduate,7913845,387564,2004
K. FRANCIS GEORGE,Idukki,KEC, 1 ,Graduate Professional,11417962,78919,2004
SUMITRA MAHAJAN,Indore,BJP,0,Post Graduate,4422500,1250000,2004
DR. THOKCHOM MEINYA,Inner Manipur,INC,0,Doctorate,1107278,80660,2004
RAKESH SINGH,Jabalpur,BJP,0,Graduate,6327291,0,2004
Sujan Chakraborty,Jadavpur,CPM,0,Doctorate,1046232,0,2004
BRAHMANANDA PANDA,Jagatsinghpur,BJD,0,Post Graduate,5982315,53760,2004
GANESH PRASAD SINGH,Jahanabad,RJD,0,Post Graduate,8990298,294350,2004
GIRDHARI LAL BHARGAVA,Jaipur,BJP,0,Graduate Professional,14248322,196196,2004
MOHAN JENA,Jajpur,BJD,0,Post Graduate,870000,22568,2004
