Day,Average temperature (°F),Average humidity (%),Average dewpoint (°F),Average barometer (in),Average windspeed (mph),Average gustspeed (mph),Average direction (°deg),Rainfall for month (in),Rainfall for year (in),Maximum rain per minute,Maximum temperature (°F),Minimum temperature (°F),Maximum humidity (%),Minimum humidity (%),Maximum pressure,Minimum pressure,Maximum windspeed (mph),Maximum gust speed (mph),Maximum heat index (°F)
28/05/2009,49.7,60,34.6,30.0,2.9,4.3,19,1.66,4.1,0.01,66.4,33.2,90,23,30.186,29.922,16.1,21.0,76.9
29/05/2009,53.1,56,35.2,30.1,3.1,4.8,349,1.66,4.1,0.0,70.4,34.3,89,22,30.211,29.925,21.9,30.0,79.0
30/05/2009,53.9,58,38.3,29.9,3.1,5.0,287,1.68,4.12,0.01,67.8,42.6,78,27,30.048,29.829,17.3,26.0,79.1
31/05/2009,56.3,52,37.8,29.8,6.0,8.6,277,1.68,4.12,0.0,69.9,46.3,78,24,29.864,29.683000000000003,18.4,25.0,79.0
1/06/2009,50.6,77,43.3,29.8,2.3,3.4,301,0.13,4.28,0.01,61.2,41.6,92,51,29.95,29.731,13.8,21.0,61.2
2/06/2009,42.2,88,38.9,30.1,3.4,5.3,75,0.24,4.39,0.01,48.0,39.2,93,72,30.3,29.829,13.8,20.0,48.0
3/06/2009,48.3,75,40.4,30.1,4.7,6.5,43,0.26,4.41,0.01,62.9,39.6,91,39,30.244,29.942,19.6,28.0,62.9
4/06/2009,57.1,51,35.2,29.9,4.9,7.8,300,0.26,4.41,0.0,71.6,40.3,84,14,30.088,29.811,20.7,30.0,78.3
5/06/2009,56.5,53,35.9,29.7,4.8,7.3,251,0.26,4.41,0.0,71.5,40.1,89,17,29.887,29.388,25.3,30.0,79.1
6/06/2009,59.0,23,20.7,29.5,14.4,20.3,266,0.27,4.42,0.01,66.8,46.0,46,14,29.594,29.392,31.1,43.0,73.1
7/06/2009,48.4,47,27.2,29.7,6.9,10.1,265,0.27,4.42,0.0,61.0,33.4,78,20,29.831,29.526,35.7,46.0,61.0
8/06/2009,47.8,75,39.9,29.8,4.6,6.5,32,0.33,4.48,0.02,59.3,38.5,91,36,29.879,29.74,17.3,24.0,59.3
9/06/2009,50.9,65,37.7,29.8,4.3,6.4,278,0.33,4.48,0.0,62.6,40.5,93,27,29.829,29.708,21.9,29.0,62.6
10/06/2009,51.3,69,40.0,29.7,4.8,7.2,32,0.64,4.79,0.02,61.8,43.1,92,29,29.82,29.623,16.1,22.0,61.8
11/06/2009,48.9,72,39.3,29.8,5.3,7.5,258,0.75,4.9,0.03,60.2,41.1,93,37,29.893,29.699,21.9,31.0,60.2
12/06/2009,49.3,70,39.1,29.9,3.7,5.7,350,0.8,4.95,0.01,60.4,36.5,93,37,29.989,29.798,24.2,31.0,60.4
13/06/2009,55.4,56,38.7,29.8,3.6,5.6,294,0.8,4.95,0.0,68.6,42.0,85,20,30.014,29.666,18.4,26.0,79.1
14/06/2009,55.1,52,36.1,29.7,4.4,6.8,174,0.81,4.96,0.01,68.3,40.5,82,18,29.89,29.658,21.9,28.0,78.9
15/06/2009,49.9,68,38.3,29.8,4.4,6.7,272,0.92,5.07,0.01,63.1,38.6,93,32,29.931,29.703000000000007,28.8,36.0,63.1
16/06/2009,51.3,66,37.3,29.9,3.1,4.7,300,0.93,5.08,0.01,73.9,34.7,93,18,29.981,29.76,20.7,29.0,78.7
17/06/2009,57.3,50,35.6,29.7,4.6,7.1,277,0.93,5.08,0.0,73.2,39.6,87,18,29.908,29.573,20.7,26.0,79.1
18/06/2009,58.7,39,32.4,29.6,7.0,10.4,266,0.93,5.08,0.0,71.3,42.3,69,19,29.711,29.546,25.3,32.0,78.6
